# New format observatory information file.
#
# Values are x,y,z geocentric coordinates
# The last column contains the old-style telescope ID code
#
   882589.65    -4924872.32     3943729.348      GBT                 gbt  
-4752329.7000  2790505.9340     -3200483.7470    NARRABRI            atca
  2390490.0     -5564764.0      1994727.0        ARECIBO             ao
 228310.702   4631922.905      4367064.059      NANSHAN             NS
 228310.702   4631922.905      4367064.059      UAO	  	    NS
 -4460892.6     2682358.9       -3674756.0       DSS_43              tid43
 -4554231.5     2816759.1       -3454036.3       PARKES              pks
 4865182.7660  791922.6890      4035137.1740     SRT                 srt
 3822626.04    -154105.65       5086486.04       JODRELL             jb
 3822626.04    -154105.65       5086486.04       JBODFB              jbdfb
 3822626.04    -154105.65       5086486.04       JBOAFB              jbafb
 -1601192.     -5041981.4       3554871.4        VLA                 vla
 4324165.81     165927.11       4670132.83       NANCAY              ncy
 4324165.81     165927.11       4670132.83       NUPPI               ncyobs
 4324165.81     165927.11       4670132.83       OP                  obspm
 4033949.5      486989.4        4900430.8        EFFELSBERG          eff
 3822252.643   -153995.683      5086051.443      JODRELLM4           jbm4
 881856.58     -4925311.86      3943459.70       GB300               gb300
 882872.57     -4924552.73      3944154.92       GB140               gb140
 882315.33     -4925191.41      3943414.05       GB853               gb853
 5327021.651    -1719555.576    3051967.932      LA_PALMA            lap
 -3950077.96    2522377.31     -4311667.52       Hobart              hob
 5085442.780   2668263.483     -2768697.034      Hartebeesthoek      hart
 3828445.659   445223.600000    5064921.5677     WSRT                wsrt
 3826577.462   461022.624       5064892.526      LOFAR               lofar
 4034038.635    487026.223      4900280.057      DE601LBA            EFlfrlba
 4034038.635    487026.223      4900280.057      DE601LBH            EFlfrlbh
 4034101.901    487012.401      4900230.210      DE601HBA            EFlfrhba
 4034101.901    487012.401      4900230.210      DE601               EFlfr
 4152561.068    828868.725      4754356.878      DE602LBA            UWlfrlba
 4152561.068    828868.725      4754356.878      DE602LBH            UWlfrlbh
 4152568.416    828788.802      4754361.926      DE602HBA            UWlfrhba
 4152568.416    828788.802      4754361.926      DE602               UWlfr
 3940285.328    816802.001      4932392.757      DE603LBA            TBlfrlba
 3940285.328    816802.001      4932392.757      DE603LBH            TBlfrlbh
 3940296.126    816722.532      4932394.152      DE603HBA            TBlfrhba
 3940296.126    816722.532      4932394.152      DE603               TBlfr
 3796327.609    877591.315      5032757.252      DE604LBA            POlfrlba
 3796327.609    877591.315      5032757.252      DE604LBH            POlfrlbh
 3796380.254    877613.809      5032712.272      DE604HBA            POlfrhba
 3796380.254    877613.809      5032712.272      DE604               POlfr
 4005681.742    450968.282      4926457.670      DE605LBA            JUlfrlba
 4005681.742    450968.282      4926457.670      DE605LBH            JUlfrlbh
 4005681.407    450968.304      4926457.940      DE605HBA            JUlfrhba
 4005681.407    450968.304      4926457.940      DE605               JUlfr
 4323980.155    165608.408      4670302.803      FR606LBA            FRlfrlba
 4323980.155    165608.408      4670302.803      FR606LBH            FRlfrlbh
 4324017.054    165545.160      4670271.072      FR606HBA            FRlfrhba
 4324017.054    165545.160      4670271.072      FR606               FRlfr
 3370287.366    712053.586      5349991.228      SE607LBA            ONlfrlba
 3370287.366    712053.586      5349991.228      SE607LBH            ONlfrlbh
 3370272.092    712125.596      5349990.934      SE607HBA            ONlfrhba
 3370272.092    712125.596      5349990.934      SE607               ONlfr
 4008438.796   -100310.064      4943735.554      UK608LBA            UKlfrlba
 4008438.796   -100310.064      4943735.554      UK608LBH            UKlfrlbh
 4008462.280   -100376.948      4943716.600      UK608HBA            UKlfrhba
 4008462.280   -100376.948      4943716.600      UK608               UKlfr
 3727207.778    655184.900      5117000.625      DE609LBA            NDlfrlba
 3727207.778    655184.900      5117000.625      DE609LBH            NDlfrlbh
 3727218.128    655108.821      5117002.847      DE609HBA            NDlfrhba
 3727218.128    655108.821      5117002.847      DE609               NDlfr
 2136833.225    810088.740      5935285.279      FI609LBA            Filfrlba
 2136833.225    810088.740      5935285.279      FI609LBH            Filfrlbh
 2136819.1940   810039.5757     5935299.0536     FI609HBA            Filfrhba
 2136819.1940   810039.5757     5935299.0536     FI609               Filfr
 3307865.236   2487350.541      4836939.784      UTR-2               UTR2
 1656342.30    5797947.77       2073243.16       GMRT                gmrt
 5109943.1050  2003650.7359    -3239908.3195     KAT7                k7
#
####### From Jodrell obsys.dat file
#
 383395.727    -173759.585      5077751.313      MKIII               j  
 3817176.557   -162921.170      5089462.046      TABLEY              k  
 3828714.504   -169458.987      5080647.749      DARNHALL            l
 3859711.492   -201995.082      5056134.285      KNOCKIN             m  
 3923069.135   -146804.404      5009320.570      DEFFORD             n  
       0.0           1.0              0.0        COE                 coe  
#
###### Telescope ID changed from the Jodrell obsys.dat file
#
 3822252.643   -153995.683      5086051.443      JODRELL2            q
 3822252.643   -153995.683      5086051.443      JODRELL3            jbdfb
 3822473.365   -153692.318      5085851.303      JB_MKII             jbmk2
 3822294.825   -153862.275      5085987.071      JB_42ft             jb42
#
# New telescopes
# 284543.5      -175324.040      2400.            LA_PALMA            p
 1719555.576   5327021.651      3051967.932      LA_PALMA            p
 -1602196.60   -5042313.47      3553971.51       LWA1                lwa1       
# Fake telescope for IPTA data challenge
   6378138.00    0.0     0.0                      AXIS                axi  

 0 0 0 STL_BAT STL_BAT
